Zachary Taylor,04/03/1849,09/07/1850
Millard Fillmore,09/07/1850,04/03/1853
Franklin Pierce,04/03/1853,04/03/1857
James Buchanan,04/03/1857,04/03/1861
Abraham Lincoln,04/03/1861,15/04/1865
Andrew Johnson,15/04/1865,04/03/1869
Ulysses S. Grant,04/03/1869,04/03/1877
Rutherford B. Hayes,04/03/1877,04/03/1881
James A. Garfield,04/03/1881,19/09/1881
Chester A. Arthur,19/09/1881,04/03/1885
Grover Cleveland,04/03/1885,04/03/1889
Benjamin Harrison,04/03/1889,04/03/1893
Grover Cleveland,04/03/1893,04/03/1897
William McKinley,04/03/1897,14/09/1901
Theodore Roosevelt,14/09/1901,04/03/1909
William Howard Taft,04/03/1909,04/03/1913
Woodrow Wilson,04/03/1913,04/03/1921
Warren G. Harding,04/03/1921,02/08/1923
Calvin Coolidge,02/08/1923,04/03/1929
Herbert Hoover,04/03/1929,04/03/1933
Franklin D. Roosevelt,04/03/1933,12/04/1945
Harry S. Truman,12/04/1945,20/01/1953
Dwight D. Eisenhower,20/01/1953,20/01/1961
John F. Kennedy,20/01/1961,22/11/1963
Lyndon B. Johnson,22/11/1963,20/01/1969
Richard Nixon,20/01/1969,09/08/1974
Gerald Ford,09/08/1974,20/01/1977
Jimmy Carter,20/01/1977,20/01/1981
Ronald Reagan,20/01/1981,20/01/1989
George H. W. Bush,20/01/1989,20/01/1993
Bill Clinton,20/01/1993,20/01/2001
George W. Bush,20/01/2001,20/01/2009
Barack Obama,20/01/2009,20/01/2017
Donald Trump,20/01/2017,present
